room_code,player_id,username,sync_mode,delay_level,artificial_delay_ms,question_index,is_correct,perceived_latency_ms,server_rtt_ms,predicted_score,server_score,score_difference,reconciliation_required,timestamp
BM5554,vplayer-4,VirtualPlayer_4,server,none,0,4,TRUE,18,18,850,850,0,FALSE,"2026-08-31T16:36:19.546Z"
BM5554,vplayer-5,VirtualPlayer_5,server,none,0,4,FALSE,23,23,0,0,0,FALSE,"2026-08-31T16:36:19.868Z"
BM7251,vplayer-1,VirtualPlayer_1,server,low,50,1,TRUE,119,119,924,924,0,FALSE,"2026-08-31T16:35:20.162Z"
BM7251,vplayer-2,VirtualPlayer_2,server,low,50,1,TRUE,118,118,900,900,0,FALSE,"2026-08-31T16:35:20.456Z"
BM7251,vplayer-3,VirtualPlayer_3,server,low,50,1,TRUE,123,123,852,852,0,FALSE,"2026-08-31T16:35:20.760Z"
BM7251,vplayer-4,VirtualPlayer_4,server,low,50,1,TRUE,122,122,923,923,0,FALSE,"2026-08-31T16:35:21.053Z"
BM7251,vplayer-5,VirtualPlayer_5,server,low,50,1,TRUE,122,122,946,946,0,FALSE,"2026-08-31T16:35:21.341Z"
BM7251,vplayer-1,VirtualPlayer_1,server,low,50,2,TRUE,124,124,850,850,0,FALSE,"2026-08-31T16:35:41.635Z"
BM7251,vplayer-2,VirtualPlayer_2,server,low,50,2,TRUE,115,115,910,910,0,FALSE,"2026-08-31T16:35:41.932Z"
BM7251,vplayer-3,VirtualPlayer_3,server,low,50,2,TRUE,122,122,822,822,0,FALSE,"2026-08-31T16:35:42.239Z"
BM7251,vplayer-4,VirtualPlayer_4,server,low,50,2,TRUE,115,115,857,857,0,FALSE,"2026-08-31T16:35:42.561Z"
BM7251,vplayer-5,VirtualPlayer_5,server,low,50,2,TRUE,122,122,929,929,0,FALSE,"2026-08-31T16:35:42.857Z"
BM7251,vplayer-1,VirtualPlayer_1,server,low,50,3,TRUE,121,121,916,916,0,FALSE,"2026-08-31T16:36:03.143Z"
BM7251,vplayer-2,VirtualPlayer_2,server,low,50,3,TRUE,116,116,813,813,0,FALSE,"2026-08-31T16:36:03.448Z"
BM7251,vplayer-3,VirtualPlayer_3,server,low,50,3,TRUE,123,123,880,880,0,FALSE,"2026-08-31T16:36:03.740Z"
BM7251,vplayer-4,VirtualPlayer_4,server,low,50,3,TRUE,120,120,898,898,0,FALSE,"2026-08-31T16:36:04.440Z"
BM7251,vplayer-5,VirtualPlayer_5,server,low,50,3,TRUE,122,122,830,830,0,FALSE,"2026-08-31T16:36:04.733Z"
BM7251,vplayer-1,VirtualPlayer_1,server,low,50,4,TRUE,119,119,804,804,0,FALSE,"2026-08-31T16:36:25.045Z"
BM7251,vplayer-2,VirtualPlayer_2,server,low,50,4,TRUE,123,123,852,852,0,FALSE,"2026-08-31T16:36:25.340Z"
BM7251,vplayer-3,VirtualPlayer_3,server,low,50,4,FALSE,117,117,0,0,0,FALSE,"2026-08-31T16:36:25.613Z"
BM7251,vplayer-4,VirtualPlayer_4,server,low,50,4,TRUE,115,115,815,815,0,FALSE,"2026-08-31T16:36:25.892Z"
BM7251,vplayer-5,VirtualPlayer_5,server,low,50,4,TRUE,123,123,911,911,0,FALSE,"2026-08-31T16:36:26.194Z"
BM8384,vplayer-1,VirtualPlayer_1,server,medium,100,1,FALSE,221,221,0,0,0,FALSE,"2026-08-31T16:35:26.477Z"
BM8384,vplayer-2,VirtualPlayer_2,server,medium,100,1,TRUE,224,224,805,805,0,FALSE,"2026-08-31T16:35:26.765Z"
BM8384,vplayer-3,VirtualPlayer_3,server,medium,100,1,FALSE,217,217,0,0,0,FALSE,"2026-08-31T16:35:27.054Z"
BM8384,vplayer-4,VirtualPlayer_4,server,medium,100,1,TRUE,218,218,808,808,0,FALSE,"2026-08-31T16:35:27.342Z"
BM8384,vplayer-5,VirtualPlayer_5,server,medium,100,1,TRUE,217,217,940,940,0,FALSE,"2026-08-31T16:35:27.652Z"
BM8384,vplayer-1,VirtualPlayer_1,server,medium,100,2,TRUE,220,220,815,815,0,FALSE,"2026-08-31T16:35:47.943Z"
BM8384,vplayer-2,VirtualPlayer_2,server,medium,100,2,FALSE,223,223,0,0,0,FALSE,"2026-08-31T16:35:48.234Z"
BM8384,vplayer-3,VirtualPlayer_3,server,medium,100,2,TRUE,216,216,843,843,0,FALSE,"2026-08-31T16:35:48.529Z"
BM8384,vplayer-4,VirtualPlayer_4,server,medium,100,2,FALSE,221,221,0,0,0,FALSE,"2026-08-31T16:35:48.836Z"
BM8384,vplayer-5,VirtualPlayer_5,server,medium,100,2,TRUE,219,219,856,856,0,FALSE,"2026-08-31T16:35:49.123Z"
BM8384,vplayer-1,VirtualPlayer_1,server,medium,100,3,TRUE,221,221,854,854,0,FALSE,"2026-08-31T16:36:09.423Z"
BM8384,vplayer-2,VirtualPlayer_2,server,medium,100,3,TRUE,215,215,836,836,0,FALSE,"2026-08-31T16:36:09.742Z"
BM8384,vplayer-3,VirtualPlayer_3,server,medium,100,3,TRUE,219,219,813,813,0,FALSE,"2026-08-31T16:36:10.067Z"
BM8384,vplayer-4,VirtualPlayer_4,server,medium,100,3,TRUE,223,223,926,926,0,FALSE,"2026-08-31T16:36:10.355Z"
BM8384,vplayer-5,VirtualPlayer_5,server,medium,100,3,TRUE,218,218,861,861,0,FALSE,"2026-08-31T16:36:10.642Z"
BM8384,vplayer-1,VirtualPlayer_1,server,medium,100,4,TRUE,219,219,797,797,0,FALSE,"2026-08-31T16:36:30.919Z"
BM8384,vplayer-2,VirtualPlayer_2,server,medium,100,4,TRUE,222,222,934,934,0,FALSE,"2026-08-31T16:36:31.210Z"
BM8384,vplayer-3,VirtualPlayer_3,server,medium,100,4,TRUE,217,217,803,803,0,FALSE,"2026-08-31T16:36:31.490Z"
BM8384,vplayer-4,VirtualPlayer_4,server,medium,100,4,FALSE,216,216,0,0,0,FALSE,"2026-08-31T16:36:31.787Z"
BM8384,vplayer-5,VirtualPlayer_5,server,medium,100,4,FALSE,216,216,0,0,0,FALSE,"2026-08-31T16:36:32.076Z"
BM9547,vplayer-1,VirtualPlayer_1,server,high,200,1,TRUE,419,419,814,814,0,FALSE,"2026-08-31T16:35:32.381Z"
BM9547,vplayer-2,VirtualPlayer_2,server,high,200,1,TRUE,418,418,881,881,0,FALSE,"2026-08-31T16:35:32.669Z"
BM9547,vplayer-3,VirtualPlayer_3,server,high,200,1,TRUE,424,424,939,939,0,FALSE,"2026-08-31T16:35:32.956Z"
BM9547,vplayer-4,VirtualPlayer_4,server,high,200,1,TRUE,419,419,920,920,0,FALSE,"2026-08-31T16:35:33.247Z"
BM9547,vplayer-5,VirtualPlayer_5,server,high,200,1,FALSE,416,416,0,0,0,FALSE,"2026-08-31T16:35:33.549Z"
BM9547,vplayer-1,VirtualPlayer_1,server,high,200,2,TRUE,421,421,821,821,0,FALSE,"2026-08-31T16:35:53.926Z"
BM9547,vplayer-2,VirtualPlayer_2,server,high,200,2,TRUE,423,423,817,817,0,FALSE,"2026-08-31T16:35:54.207Z"
BM9547,vplayer-3,VirtualPlayer_3,server,high,200,2,TRUE,417,417,821,821,0,FALSE,"2026-08-31T16:35:54.485Z"
BM9547,vplayer-4,VirtualPlayer_4,server,high,200,2,TRUE,422,422,942,942,0,FALSE,"2026-08-31T16:35:54.778Z"
BM9547,vplayer-5,VirtualPlayer_5,server,high,200,2,TRUE,417,417,786,786,0,FALSE,"2026-08-31T16:35:55.060Z"
BM9547,vplayer-1,VirtualPlayer_1,server,high,200,3,FALSE,415,415,0,0,0,FALSE,"2026-08-31T16:36:15.333Z"
BM9547,vplayer-2,VirtualPlayer_2,server,high,200,3,TRUE,418,418,900,900,0,FALSE,"2026-08-31T16:36:15.642Z"
BM9547,vplayer-3,VirtualPlayer_3,server,high,200,3,TRUE,417,417,882,882,0,FALSE,"2026-08-31T16:36:15.926Z"
BM9547,vplayer-4,VirtualPlayer_4,server,high,200,3,FALSE,416,416,0,0,0,FALSE,"2026-08-31T16:36:16.221Z"
BM9547,vplayer-5,VirtualPlayer_5,server,high,200,3,TRUE,422,422,925,925,0,FALSE,"2026-08-31T16:36:16.506Z"
BM9547,vplayer-1,VirtualPlayer_1,server,high,200,4,TRUE,424,424,943,943,0,FALSE,"2026-08-31T16:36:36.782Z"
BM9547,vplayer-2,VirtualPlayer_2,server,high,200,4,FALSE,419,419,0,0,0,FALSE,"2026-08-31T16:36:37.075Z"
BM9547,vplayer-3,VirtualPlayer_3,server,high,200,4,TRUE,420,420,916,916,0,FALSE,"2026-08-31T16:36:37.374Z"
BM9547,vplayer-4,VirtualPlayer_4,server,high,200,4,TRUE,422,422,834,834,0,FALSE,"2026-08-31T16:36:37.671Z"
BM9547,vplayer-5,VirtualPlayer_5,server,high,200,4,FALSE,421,421,0,0,0,FALSE,"2026-08-31T16:36:37.966Z"
BM8461,vplayer-1,VirtualPlayer_1,optimistic,none,0,1,TRUE,10,15,859,859,0,FALSE,"2026-08-31T16:35:38.261Z"
BM8461,vplayer-2,VirtualPlayer_2,optimistic,none,0,1,TRUE,9,16,926,926,0,FALSE,"2026-08-31T16:35:38.538Z"
BM8461,vplayer-3,VirtualPlayer_3,optimistic,none,0,1,TRUE,4,21,802,802,0,FALSE,"2026-08-31T16:35:38.831Z"
BM8461,vplayer-4,VirtualPlayer_4,optimistic,none,0,1,TRUE,4,16,835,835,0,FALSE,"2026-08-31T16:35:39.116Z"
BM8461,vplayer-5,VirtualPlayer_5,optimistic,none,0,1,TRUE,6,24,791,791,0,FALSE,"2026-08-31T16:35:39.425Z"
BM8461,vplayer-1,VirtualPlayer_1,optimistic,none,0,2,TRUE,10,24,852,852,0,FALSE,"2026-08-31T16:35:59.725Z"
BM8461,vplayer-2,VirtualPlayer_2,optimistic,none,0,2,TRUE,5,24,920,920,0,FALSE,"2026-08-31T16:36:00.035Z"
BM8461,vplayer-3,VirtualPlayer_3,optimistic,none,0,2,TRUE,6,20,832,832,0,FALSE,"2026-08-31T16:36:00.330Z"
BM8461,vplayer-4,VirtualPlayer_4,optimistic,none,0,2,TRUE,7,19,785,785,0,FALSE,"2026-08-31T16:36:00.619Z"
BM8461,vplayer-5,VirtualPlayer_5,optimistic,none,0,2,TRUE,6,24,844,844,0,FALSE,"2026-08-31T16:36:00.947Z"
BM8461,vplayer-1,VirtualPlayer_1,optimistic,none,0,3,TRUE,6,22,894,894,0,FALSE,"2026-08-31T16:36:21.235Z"
BM8461,vplayer-2,VirtualPlayer_2,optimistic,none,0,3,TRUE,7,24,794,794,0,FALSE,"2026-08-31T16:36:21.536Z"
BM8461,vplayer-3,VirtualPlayer_3,optimistic,none,0,3,TRUE,9,20,842,842,0,FALSE,"2026-08-31T16:36:21.834Z"
BM8461,vplayer-4,VirtualPlayer_4,optimistic,none,0,3,FALSE,6,18,843,0,843,TRUE,"2026-08-31T16:36:22.133Z"
BM8461,vplayer-5,VirtualPlayer_5,optimistic,none,0,3,TRUE,6,21,926,926,0,FALSE,"2026-08-31T16:36:22.433Z"
BM8461,vplayer-1,VirtualPlayer_1,optimistic,none,0,4,TRUE,5,22,812,812,0,FALSE,"2026-08-31T16:36:42.728Z"
BM8461,vplayer-2,VirtualPlayer_2,optimistic,none,0,4,TRUE,5,19,781,781,0,FALSE,"2026-08-31T16:36:43.048Z"
BM8461,vplayer-3,VirtualPlayer_3,optimistic,none,0,4,TRUE,7,17,785,785,0,FALSE,"2026-08-31T16:36:43.346Z"
BM8461,vplayer-4,VirtualPlayer_4,optimistic,none,0,4,TRUE,3,21,822,822,0,FALSE,"2026-08-31T16:36:43.640Z"
BM8461,vplayer-5,VirtualPlayer_5,optimistic,none,0,4,TRUE,3,20,940,940,0,FALSE,"2026-08-31T16:36:45.241Z"
BM8405,vplayer-1,VirtualPlayer_1,optimistic,low,50,1,TRUE,7,120,817,817,0,FALSE,"2026-08-31T16:35:45.518Z"
BM8405,vplayer-2,VirtualPlayer_2,optimistic,low,50,1,TRUE,8,117,815,815,0,FALSE,"2026-08-31T16:35:46.246Z"
BM8405,vplayer-3,VirtualPlayer_3,optimistic,low,50,1,FALSE,4,123,826,0,826,TRUE,"2026-08-31T16:35:46.537Z"
BM8405,vplayer-4,VirtualPlayer_4,optimistic,low,50,1,TRUE,10,118,821,821,0,FALSE,"2026-08-31T16:35:46.837Z"
BM8405,vplayer-5,VirtualPlayer_5,optimistic,low,50,1,TRUE,4,117,935,935,0,FALSE,"2026-08-31T16:35:47.136Z"
BM8405,vplayer-1,VirtualPlayer_1,optimistic,low,50,2,TRUE,6,122,908,908,0,FALSE,"2026-08-31T16:36:07.431Z"
BM8405,vplayer-2,VirtualPlayer_2,optimistic,low,50,2,TRUE,9,124,945,945,0,FALSE,"2026-08-31T16:36:07.720Z"
BM8405,vplayer-3,VirtualPlayer_3,optimistic,low,50,2,TRUE,4,118,872,872,0,FALSE,"2026-08-31T16:36:08.010Z"
BM8405,vplayer-4,VirtualPlayer_4,optimistic,low,50,2,TRUE,9,120,936,936,0,FALSE,"2026-08-31T16:36:08.458Z"
BM8405,vplayer-5,VirtualPlayer_5,optimistic,low,50,2,TRUE,10,120,858,858,0,FALSE,"2026-08-31T16:36:08.747Z"
BM8405,vplayer-1,VirtualPlayer_1,optimistic,low,50,3,FALSE,4,121,802,0,802,TRUE,"2026-08-31T16:36:29.037Z"
BM8405,vplayer-2,VirtualPlayer_2,optimistic,low,50,3,TRUE,3,121,859,859,0,FALSE,"2026-08-31T16:36:29.331Z"
BM8405,vplayer-3,VirtualPlayer_3,optimistic,low,50,3,FALSE,3,120,781,0,781,TRUE,"2026-08-31T16:36:29.626Z"
BM8405,vplayer-4,VirtualPlayer_4,optimistic,low,50,3,TRUE,8,119,851,851,0,FALSE,"2026-08-31T16:36:29.917Z"
BM8405,vplayer-5,VirtualPlayer_5,optimistic,low,50,3,TRUE,4,118,833,833,0,FALSE,"2026-08-31T16:36:30.215Z"
BM8405,vplayer-1,VirtualPlayer_1,optimistic,low,50,4,TRUE,10,117,883,883,0,FALSE,"2026-08-31T16:36:50.510Z"
BM8405,vplayer-2,VirtualPlayer_2,optimistic,low,50,4,TRUE,4,118,804,804,0,FALSE,"2026-08-31T16:36:50.801Z"
BM8405,vplayer-3,VirtualPlayer_3,optimistic,low,50,4,TRUE,5,115,808,808,0,FALSE,"2026-08-31T16:36:51.090Z"
BM8405,vplayer-4,VirtualPlayer_4,optimistic,low,50,4,TRUE,10,120,849,849,0,FALSE,"2026-08-31T16:36:51.384Z"
BM8405,vplayer-5,VirtualPlayer_5,optimistic,low,50,4,TRUE,6,116,945,945,0,FALSE,"2026-08-31T16:36:52.040Z"
BM6531,vplayer-1,VirtualPlayer_1,optimistic,medium,100,1,FALSE,4,215,798,0,798,TRUE,"2026-08-31T16:35:52.312Z"
BM6531,vplayer-2,VirtualPlayer_2,optimistic,medium,100,1,FALSE,10,216,850,0,850,TRUE,"2026-08-31T16:35:52.612Z"
BM6531,vplayer-3,VirtualPlayer_3,optimistic,medium,100,1,TRUE,5,219,935,935,0,FALSE,"2026-08-31T16:35:52.908Z"
BM6531,vplayer-4,VirtualPlayer_4,optimistic,medium,100,1,TRUE,7,216,792,792,0,FALSE,"2026-08-31T16:35:53.181Z"
BM6531,vplayer-5,VirtualPlayer_5,optimistic,medium,100,1,TRUE,3,219,812,812,0,FALSE,"2026-08-31T16:35:53.465Z"
BM6531,vplayer-1,VirtualPlayer_1,optimistic,medium,100,2,TRUE,8,217,834,834,0,FALSE,"2026-08-31T16:36:13.740Z"
BM6531,vplayer-2,VirtualPlayer_2,optimistic,medium,100,2,TRUE,3,224,910,910,0,FALSE,"2026-08-31T16:36:14.016Z"
BM6531,vplayer-3,VirtualPlayer_3,optimistic,medium,100,2,TRUE,3,216,816,816,0,FALSE,"2026-08-31T16:36:14.309Z"
BM6531,vplayer-4,VirtualPlayer_4,optimistic,medium,100,2,TRUE,9,215,788,788,0,FALSE,"2026-08-31T16:36:14.636Z"
BM6531,vplayer-5,VirtualPlayer_5,optimistic,medium,100,2,TRUE,4,220,854,854,0,FALSE,"2026-08-31T16:36:14.936Z"
BM6531,vplayer-1,VirtualPlayer_1,optimistic,medium,100,3,TRUE,7,217,877,877,0,FALSE,"2026-08-31T16:36:35.224Z"
BM6531,vplayer-2,VirtualPlayer_2,optimistic,medium,100,3,TRUE,8,218,783,783,0,FALSE,"2026-08-31T16:36:35.533Z"
BM6531,vplayer-3,VirtualPlayer_3,optimistic,medium,100,3,TRUE,6,222,850,850,0,FALSE,"2026-08-31T16:36:35.824Z"
BM6531,vplayer-4,VirtualPlayer_4,optimistic,medium,100,3,FALSE,10,220,900,0,900,TRUE,"2026-08-31T16:36:36.106Z"
BM6531,vplayer-5,VirtualPlayer_5,optimistic,medium,100,3,FALSE,8,219,783,0,783,TRUE,"2026-08-31T16:36:36.411Z"
BM6531,vplayer-1,VirtualPlayer_1,optimistic,medium,100,4,TRUE,4,217,816,816,0,FALSE,"2026-08-31T16:36:56.692Z"
BM6531,vplayer-2,VirtualPlayer_2,optimistic,medium,100,4,TRUE,4,217,925,925,0,FALSE,"2026-08-31T16:36:56.964Z"
BM6531,vplayer-3,VirtualPlayer_3,optimistic,medium,100,4,TRUE,5,221,922,922,0,FALSE,"2026-08-31T16:36:57.288Z"
BM6531,vplayer-4,VirtualPlayer_4,optimistic,medium,100,4,TRUE,10,220,845,845,0,FALSE,"2026-08-31T16:36:57.605Z"
BM6531,vplayer-5,VirtualPlayer_5,optimistic,medium,100,4,TRUE,5,221,869,869,0,FALSE,"2026-08-31T16:36:57.885Z"
BM3387,vplayer-1,VirtualPlayer_1,optimistic,high,200,1,TRUE,10,418,933,933,0,FALSE,"2026-08-31T16:35:58.209Z"
BM3387,vplayer-2,VirtualPlayer_2,optimistic,high,200,1,TRUE,4,417,914,914,0,FALSE,"2026-08-31T16:35:58.508Z"
BM3387,vplayer-3,VirtualPlayer_3,optimistic,high,200,1,FALSE,9,418,805,0,805,TRUE,"2026-08-31T16:35:58.796Z"
BM3387,vplayer-4,VirtualPlayer_4,optimistic,high,200,1,TRUE,3,415,783,783,0,FALSE,"2026-08-31T16:35:59.100Z"
BM3387,vplayer-5,VirtualPlayer_5,optimistic,high,200,1,TRUE,3,418,805,805,0,FALSE,"2026-08-31T16:35:59.394Z"
BM3387,vplayer-1,VirtualPlayer_1,optimistic,high,200,2,TRUE,7,420,794,794,0,FALSE,"2026-08-31T16:36:19.679Z"
BM3387,vplayer-2,VirtualPlayer_2,optimistic,high,200,2,TRUE,8,424,841,841,0,FALSE,"2026-08-31T16:36:19.952Z"
BM3387,vplayer-3,VirtualPlayer_3,optimistic,high,200,2,TRUE,5,420,853,853,0,FALSE,"2026-08-31T16:36:20.239Z"
BM3387,vplayer-4,VirtualPlayer_4,optimistic,high,200,2,TRUE,4,415,943,943,0,FALSE,"2026-08-31T16:36:20.516Z"
BM3387,vplayer-5,VirtualPlayer_5,optimistic,high,200,2,TRUE,10,419,790,790,0,FALSE,"2026-08-31T16:36:20.885Z"
BM3387,vplayer-1,VirtualPlayer_1,optimistic,high,200,3,TRUE,3,424,848,848,0,FALSE,"2026-08-31T16:36:41.174Z"
BM3387,vplayer-2,VirtualPlayer_2,optimistic,high,200,3,TRUE,3,418,936,936,0,FALSE,"2026-08-31T16:36:41.456Z"
BM3387,vplayer-3,VirtualPlayer_3,optimistic,high,200,3,FALSE,8,423,838,0,838,TRUE,"2026-08-31T16:36:41.745Z"
BM3387,vplayer-4,VirtualPlayer_4,optimistic,high,200,3,TRUE,10,419,816,816,0,FALSE,"2026-08-31T16:36:42.036Z"
BM3387,vplayer-5,VirtualPlayer_5,optimistic,high,200,3,TRUE,10,418,801,801,0,FALSE,"2026-08-31T16:36:42.347Z"
BM3387,vplayer-1,VirtualPlayer_1,optimistic,high,200,4,TRUE,5,417,929,929,0,FALSE,"2026-08-31T16:37:02.631Z"
BM3387,vplayer-2,VirtualPlayer_2,optimistic,high,200,4,TRUE,9,415,878,878,0,FALSE,"2026-08-31T16:37:02.908Z"
BM3387,vplayer-3,VirtualPlayer_3,optimistic,high,200,4,TRUE,5,420,932,932,0,FALSE,"2026-08-31T16:37:03.189Z"
BM3387,vplayer-4,VirtualPlayer_4,optimistic,high,200,4,TRUE,6,424,943,943,0,FALSE,"2026-08-31T16:37:03.473Z"
BM3387,vplayer-5,VirtualPlayer_5,optimistic,high,200,4,TRUE,10,423,890,890,0,FALSE,"2026-08-31T16:37:03.768Z"
